plate,name,region,population,lat,lon,is_remote
1,Adana,akdeniz,2270298,37.00,35.32,0
2,Adıyaman,guneydogu_anadolu,635169,37.76,38.28,0
3,Afyonkarahisar,ege,747555,38.76,30.54,0
4,Ağrı,dogu_anadolu,511238,39.72,43.05,1
5,Amasya,karadeniz,338267,40.65,35.83,0
6,Ankara,ic_anadolu,5803482,39.93,32.86,0
7,Antalya,akdeniz,2696249,36.90,30.70,0
8,Artvin,karadeniz,169543,41.18,41.82,1
9,Aydın,ege,1148241,37.85,27.84,0
10,Balıkesir,marmara,1257590,39.65,27.89,0
11,Bilecik,marmara,228673,40.14,29.98,0
12,Bingöl,dogu_anadolu,281205,38.88,40.50,1
13,Bitlis,dogu_anadolu,353988,38.40,42.11,1
14,Bolu,karadeniz,320824,40.74,31.61,0
15,Burdur,akdeniz,273799,37.72,30.29,0
16,Bursa,marmara,3214571,40.19,29.06,0
17,Çanakkale,marmara,570499,40.15,26.41,0
18,Çankırı,ic_anadolu,196515,40.60,33.62,0
19,Çorum,karadeniz,524130,40.55,34.95,0
20,Denizli,ege,1061375,37.78,29.09,0
21,Diyarbakır,guneydogu_anadolu,1818133,37.91,40.24,0
22,Edirne,marmara,414714,41.68,26.56,0
23,Elazığ,dogu_anadolu,604411,38.68,39.22,0
24,Erzincan,dogu_anadolu,239223,39.75,39.49,0
25,Erzurum,dogu_anadolu,749754,39.90,41.27,0
26,Eskişehir,ic_anadolu,906617,39.78,30.52,0
27,Gaziantep,guneydogu_anadolu,2164134,37.07,37.38,0
28,Giresun,karadeniz,448400,40.91,38.39,0
29,Gümüşhane,karadeniz,148539,40.46,39.48,1
30,Hakkari,dogu_anadolu,285058,37.57,43.74,1
31,Hatay,akdeniz,1686043,36.20,36.16,0
32,Isparta,akdeniz,445325,37.76,30.55,0
33,Mersin,akdeniz,1916432,36.80,34.63,0
34,İstanbul,marmara,15655924,41.01,28.98,0
35,İzmir,ege,4479525,38.42,27.14,0
36,Kars,dogu_anadolu,274829,40.60,43.09,1
37,Kastamonu,karadeniz,388990,41.39,33.78,0
38,Kayseri,ic_anadolu,1445683,38.73,35.49,0
39,Kırklareli,marmara,373731,41.74,27.22,0
40,Kırşehir,ic_anadolu,244519,39.15,34.16,0
41,Kocaeli,marmara,2079072,40.77,29.94,0
42,Konya,ic_anadolu,2320241,37.87,32.48,0
43,Kütahya,ege,576688,39.42,29.98,0
44,Malatya,dogu_anadolu,812580,38.35,38.31,0
45,Manisa,ege,1475716,38.62,27.43,0
46,Kahramanmaraş,akdeniz,1177436,37.58,36.93,0
47,Mardin,guneydogu_anadolu,888874,37.31,40.74,0
48,Muğla,ege,1066736,37.22,28.36,0
49,Muş,dogu_anadolu,399202,38.73,41.49,1
50,Nevşehir,ic_anadolu,310011,38.62,34.71,0
51,Niğde,ic_anadolu,377080,37.97,34.68,0
52,Ordu,karadeniz,763190,40.98,37.88,0
53,Rize,karadeniz,344359,41.02,40.52,0
54,Sakarya,marmara,1098115,40.76,30.38,0
55,Samsun,karadeniz,1377546,41.29,36.33,0
56,Siirt,guneydogu_anadolu,331311,37.93,41.94,1
57,Sinop,karadeniz,229552,42.03,35.15,0
58,Sivas,ic_anadolu,634924,39.75,37.02,0
59,Tekirdağ,marmara,1142451,40.98,27.51,0
60,Tokat,karadeniz,596454,40.31,36.55,0
61,Trabzon,karadeniz,818023,41.00,39.72,0
62,Tunceli,dogu_anadolu,85062,39.11,39.55,1
63,Şanlıurfa,guneydogu_anadolu,2213964,37.16,38.80,0
64,Uşak,ege,375454,38.68,29.41,0
65,Van,dogu_anadolu,1127612,38.49,43.38,1
66,Yozgat,ic_anadolu,419442,39.82,34.81,0
67,Zonguldak,karadeniz,588510,41.46,31.79,0
68,Aksaray,ic_anadolu,438504,38.37,34.03,0
69,Bayburt,karadeniz,85042,40.26,40.23,1
70,Karaman,ic_anadolu,260838,37.18,33.22,0
71,Kırıkkale,ic_anadolu,275100,39.85,33.52,0
72,Batman,guneydogu_anadolu,634491,37.88,41.13,0
73,Şırnak,guneydogu_anadolu,570745,37.52,42.46,1
74,Bartın,karadeniz,205839,41.64,32.34,0
75,Ardahan,dogu_anadolu,92481,41.11,42.70,1
76,Iğdır,dogu_anadolu,205517,39.92,44.04,1
77,Yalova,marmara,296333,40.66,29.28,0
78,Karabük,karadeniz,252058,41.20,32.63,0
79,Kilis,guneydogu_anadolu,155179,36.72,37.12,0
80,Osmaniye,akdeniz,559405,37.07,36.25,0
81,Düzce,karadeniz,405131,40.84,31.16,0
